personId,firstName,lastName,birthdate,lastAttended,country,height,bodyWeight,guard,forward,center,draftYear,draftRound,draftNumber
196294611,Olivinha,"","","","","","","","","","","",""
43217,Olivinha,"","","","","","","","","","","",""
196294534,Alberto,Abalde,"","","","","","","","","","",""
76001,Alaa,Abdelnaby,1968-06-24,Duke,USA,82.0,240.0,False,True,False,1990.0,1.0,25.0
76002,Zaid,Abdul-Aziz,1946-04-07,Iowa State,USA,81.0,76002.0,False,False,True,1968.0,1.0,5.0
76003,Kareem,Abdul-Jabbar,1947-04-16,UCLA,USA,86.0,225.0,False,False,True,1969.0,1.0,1.0
51,Mahmoud,Abdul-Rauf,1969-03-09,Louisiana State,USA,73.0,51.0,True,False,False,1990.0,1.0,3.0
1505,Tariq,Abdul-Wahad,1974-11-03,San Jose State,France,78.0,235.0,True,True,False,1997.0,1.0,11.0
949,Shareef,Abdur-Rahim,1976-12-11,California,USA,81.0,245.0,False,True,False,1996.0,1.0,3.0
1627114,Tom,Abercrombie,"","","","","","","","","","",""
196294573,Tom,Abercrombie,"","","","","",False,True,False,"","",""
76005,Tom,Abernethy,1954-05-06,Indiana,USA,79.0,220.0,False,True,False,1976.0,3.0,43.0
582,Mustafa,Abi,"","","","","","","","","","",""
76006,Forest,Able,1932-07-27,Western Kentucky,USA,75.0,180.0,True,False,False,1956.0,"",""
1630546,Max,Abmas,"","","","","","","","","","",""
76007,John,Abramovic,1919-02-09,Salem,USA,75.0,195.0,False,True,False,-1.0,-1.0,-1.0
203518,Alex,Abrines,1993-08-01,FC Barcelona,Spain,78.0,200.0,True,False,False,2013.0,2.0,32.0
56017,Alex,Abrines,"","","","","","","","","","",""
1630173,Precious,Achiuwa,"","","","","",False,True,False,"","",""
101165,Alex,Acker,1983-01-21,Pepperdine,USA,77.0,185.0,True,False,False,2005.0,2.0,60.0
76008,Donald,Ackerman,1930-09-04,Long Island-Brooklyn,USA,72.0,183.0,True,False,False,1953.0,2.0,""
76009,Mark,Acres,1962-11-15,Oral Roberts,USA,83.0,220.0,False,False,True,1985.0,2.0,40.0
76010,Charles,Acton,1942-01-11,Hillsdale,USA,78.0,210.0,False,True,False,-1.0,-1.0,-1.0
196294104,Deng,Acuoth,"","","","","","","","","","",""
64058,Deng,Acuoth,"","","","","","","","","","",""
203112,Quincy,Acy,1990-10-06,Baylor,USA,79.0,240.0,False,True,False,2012.0,2.0,37.0
76011,Alvan,Adams,1954-07-19,Oklahoma,USA,81.0,210.0,False,False,True,1975.0,1.0,4.0
76012,Don,Adams,1947-11-27,Northwestern,USA,79.0,210.0,False,True,False,1970.0,8.0,120.0
200801,Hassan,Adams,1984-06-20,Arizona,USA,76.0,220.0,False,True,False,2006.0,2.0,54.0
1629824,Jalen,Adams,"","","","","","","","","","",""
1629121,Jaylen,Adams,1996-05-04,St. Bonaventure,USA,72.0,225.0,True,False,False,-1.0,-1.0,-1.0
203919,Jordan,Adams,1994-07-08,UCLA,USA,77.0,209.0,True,False,False,2014.0,1.0,22.0
149,Michael,Adams,1963-01-19,Boston College,USA,70.0,165.0,True,False,False,1985.0,3.0,66.0
203500,Steven,Adams,"","","","","",False,False,True,"","",""
912,Rafael,Addison,1964-07-22,Syracuse,USA,80.0,241.0,False,True,False,1986.0,2.0,39.0
1628389,Bam,Adebayo,"","","","","",False,False,False,"","",""
1629061,Deng,Adel,1997-02-01,Louisville,South Sudan,79.0,200.0,False,True,False,2018.0,"",""
200846,Kenny,Adeleke,"","","","","","","","","","",""
76015,Rick,Adelman,1946-06-16,Loyola-Marymount,USA,74.0,175.0,True,False,False,1968.0,7.0,79.0
27025,Kyle,Adnam,"","","","","","","","","","",""
64049,Kyle,Adnam,"","","","","","","","","","",""
196294137,Jeff,Adrien,"","","","","","","","","","",""
202399,Jeff,Adrien,1986-02-10,Connecticut,USA,"","","","","",-1.0,-1.0,-1.0
201167,Arron,Afflalo,1985-10-15,UCLA,USA,77.0,210.0,True,False,False,2007.0,1.0,27.0
1630534,Ochai,Agbaji,2000-04-20,Kansas,USA,77.0,215.0,True,False,False,2022.0,1.0,14.0
200772,Maurice,Ager,1984-02-09,Michigan State,USA,77.0,202.0,True,True,False,2006.0,1.0,28.0
1962936108,Pablo,Aguilar,"","","","","","","","","","",""
203196,Ronnie,Aguilar,"","","","","","","","","","",""
1966938162,Gustavo,Aguirre,"","","","","",True,False,False,"","",""
76016,Mark,Aguirre,1959-12-10,DePaul,USA,78.0,232.0,False,True,False,1981.0,1.0,1.0
52600,Gustavo Nicolas,Agurre,"","","","","",False,False,False,"","",""
201336,Blake,Ahearn,1984-05-27,Missouri State,USA,74.0,190.0,True,False,False,-1.0,-1.0,-1.0
76017,Danny,Ainge,1959-03-17,Brigham Young,USA,77.0,76017.0,True,False,False,1981.0,2.0,31.0
201582,Alexis,Ajinca,1988-05-06,Hyeres-Toulon,France,86.0,248.0,False,False,True,2008.0,1.0,20.0
76018,Henry,Akin,1944-07-31,Morehead State,USA,82.0,225.0,False,False,True,1966.0,2.0,11.0
101224,Deji,Akindele,"","","","","","","","","","",""
200836,Akin,Akingbala,"","","","","","","","","","",""
1631231,James,Akinjo,2000-11-27,Baylor,USA,"",1631231.0,False,False,False,-22.0,-22.0,-22.0
1962937763,Josh,Akognon,"","","","","",False,False,False,"","",""
203006,Josh,Akognon,1986-02-10,California State-Fullerton,USA,71.0,203006.0,True,False,False,-22.0,-22.0,-22.0
203191,Josh,Akognon,"","","","","","","","","","",""
1629152,DeVaughn,Akoon-Purcell,1993-06-05,Illinois State,Trinidad and Tobago,78.0,200.0,True,True,False,2016.0,"",""
574,Cenk,Akyol,"","","","","","","","","","",""
202374,Solomon,Alabi,1988-03-21,Florida State,Nigeria,85.0,252.0,False,False,True,2010.0,2.0,50.0
76019,Mark,Alarie,1963-12-11,Duke,USA,80.0,217.0,False,True,False,1986.0,1.0,18.0
196294581,Eidan,Alber,"","","","","","","","","","",""
1966938138,Augusto,Alcassa,"","","","","","","","","","",""
76020,Gary,Alcorn,1936-10-08,Fresno State,USA,81.0,225.0,False,False,True,1959.0,3.0,16.0
1630583,Santi,Aldama,"","","","","",False,True,False,"","",""
203128,Furkan,Aldemir,1991-08-09,Galatasaray,Turkey,82.0,240.0,False,True,True,2012.0,2.0,53.0
202332,Cole,Aldrich,1988-10-31,Kansas,USA,83.0,253.0,False,False,True,2010.0,1.0,11.0
